sku,nombre,descripcion,price,stock,categoria,subcategoria,tipo,relleno,cobertura,activo,confianza_clasificacion
PAS-001,2 Cocadas,"2 unidades de bocaditos dulces elaborados a base de coco rallado, dorados por fuera y suaves por dentro, con un sabor intenso y aroma irresistible a coco. perfectas para acompañar un café",1200,0,Pastelería,Bocaditos,Cocadas,,Coco Rallado,0,Alta
PAS-002,Queque,Trozo de queque.,1200,0,Pastelería,Queques,Queque,,,0,Media
PAS-003,Trufas,"Trufa de 120 g, elaborada a base de masa de brownie, suave y húmeda, cubierta con chocolate y decorada con chispas de chocolate. intensa, golosa y perfecta para los amantes del cacao",1290,0,Pastelería,Bocaditos,Trufas,,Chocolate,0,Alta
PAS-004,Tres Leches,"Bizcocho suave y esponjoso, bañado en mezcla de tres leches, húmedo y delicado, cubierto con merengue italiano suave y brillante. un clásico irresistible.",3760,0,Pastelería,Tortas,Tres Leches,,Merengue Italiano,0,Alta
PAS-005-A,Profiteroles — Cobertura: Chocolate,"Bocaditos de masa choux, livianos y dorados, rellenos con crema pastelera y cubiertos con chocolate, logrando un equilibrio perfecto entre textura aireada y sabor dulce irresistible",1290,0,Pastelería,Bocaditos,Profiteroles,Crema Pastelera,Chocolate,0,Alta
PAS-005-B,Profiteroles — Cobertura: Azúcar Flor,"Bocaditos de masa choux, livianos y dorados, rellenos con crema pastelera y cubiertos con azúcar flor, logrando un equilibrio perfecto entre textura aireada y sabor dulce irresistible",1290,0,Pastelería,Bocaditos,Profiteroles,Crema Pastelera,Azúcar Flor,0,Alta
PAS-006,Surtido de Pastas Secas (100g),"100 g de pastas secas surtidas: bañadas en chocolate, rellenas con mermelada de durazno, piña o frutilla, y decoradas con chips de colores o chocolate. variedad, dulzor y textura en cada bocado",1750,0,Pastelería,Pastas Secas,Surtido,,,0,Alta
PAS-007,Torta Matilda,"Bizcocho de chocolate intenso, húmedo y esponjoso, relleno y cubierto con ganache de chocolate cremoso. decadentemente contundente y perfecta para los amantes del chocolate",3760,0,Pastelería,Tortas,Torta Matilda,Ganache de Chocolate,Ganache de Chocolate,0,Alta
PAS-008,Pie de Limón,"Base crocante de galleta, rellena con crema de limón suave y equilibrada, y cubierta con merengue italiano. refrescante, dulce y con el toque justo de acidez",3490,0,Pastelería,Pies,Pie de Limón,Crema de Limón,Merengue Italiano,0,Alta
PAS-009,Carrot Cake,"Torta de zanahoria con bizcocho húmedo de zanahoria rallada, pasas y nueces, aromatizada con nuez moscada, jengibre y ralladura de naranja. rellena y cubierta con frosting de queso crema.",3790,0,Pastelería,Tortas,Carrot Cake,Frosting de Queso Crema,Frosting de Queso Crema,0,Alta
PAS-010,Alfajor Tradicional,"Clásico alfajor de maicena, suave y delicado, relleno con cremoso manjar y cubierto en sus bordes con coco rallado. dulce equilibrado, textura tierna y sabor tradicional que se deshace en la boca",1690,0,Pastelería,Alfajores,Alfajor Tradicional,Manjar,Coco Rallado,0,Alta
PAS-011,Cheesecake de Maracuyá,"Cremoso cheesecake de queso crema natural sobre base crocante, con un delicado equilibrio entre dulzor y acidez. cubierto con suave crema de maracuyá que aporta frescura y aroma tropical.",4890,0,Pastelería,Cheesecakes,Cheesecake,,Crema de Maracuyá,0,Alta
PAS-012,Cheesecake de Frambuesa,"Cremoso cheesecake de queso crema natural sobre base crocante, con textura suave y delicada. cubierto con mermelada de frambuesa que aporta un equilibrio perfecto entre dulzor y acidez.",4990,0,Pastelería,Cheesecakes,Cheesecake,,Mermelada de Frambuesa,0,Alta
PAS-013,Torta Choco Manjar,"Bizcocho de chocolate húmedo y esponjoso, relleno con una generosa capa de manjar cremoso. cubierto con chocolate brillante y decorado con un delicado toque de manjar, intenso, jugoso en indulgente",3760,0,Pastelería,Tortas,Torta Choco Manjar,Manjar,Chocolate,0,Alta
PAS-014,Alfajor de Chocolate,"Alfajor de maicena, suave y delicado, relleno con cremoso manjar y cubierto de chocolate. decorado con coco rallado que aporta contraste de textura y un toque clásico, dulce y muy tentador.",2100,0,Pastelería,Alfajores,Alfajor de Chocolate,Manjar,Chocolate | Coco Rallado,0,Alta
DES-001,Cachito Tradicional,"Delicioso pan de masa dulce, suave y esponjosa, relleno de jamon de pierna y tocino.",3290,0,Desayuno,Cachitos,Cachito,Jamón de Pierna y Tocino,,0,Alta
DES-002,Cachito con Jamón y Queso Crema,Delicioso pan de masa dulce, suave y esponjosa, relleno de jamon y queso crema philadelphia,3490,0,Desayuno,Cachitos,Cachito,Jamón y Queso Crema,,0,Alta
DES-003,Croissant de Jamón y Queso,"Relleno con 60 g de jamón y 90 g de queso gouda, fundido y cremoso. masa hojaldrada, dorada y crujiente, ideal para un desayuno u once contundente.",3490,0,Desayuno,Croissants,Croissant,Jamón y Queso Gouda,,0,Alta
DES-004,Mini Lunch,Masa mil hojas con un toque dulce relleno de jamon y queso mozarella,2990,0,Desayuno,Bocaditos Salados,Lunch,Jamón y Queso Mozzarella,,0,Alta
DES-005,Medialuna,"Clasica media luna artesanal, dorada y crujiente por fuera, suave y esponjosa por dentro, elaborada con mantequilla holandesa para un sabor delicado y ligeramente dulce.",1200,0,Desayuno,Bollería Dulce,Medialuna,,,0,Alta
PAN-001,Pan Piñita,6 unidades de pan dulce. masa suave y esponjosa y cubierta ligeramente con azúcar. un clásico irresistible, ideal para acompañar café o té.,3490,0,Panadería,Pan Dulce,Pan Piñita,,Azúcar,0,Alta
PAN-002,Mini Pan de Queso,"Pan relleno con queso palmita, de 15 cm, dorado por fuera y bien gordito por dentro. masa suave y esponjosa, con abundante queso palmita",1650,0,Panadería,Pan Especial,Pan de Queso,Queso Palmita,,0,Alta
HOJ-001,Enrollado Tradicional,Masa de hoja crocante en forma de cilindro relleno de crema pastelera,2100,0,Hojaldrados,Enrollados,Enrollado,Crema Pastelera,,0,Alta
HOJ-002,Danessa,"Capas crujientes y doradas de hojaldre, rellenas con crema pastelera suave y cubiertas con frutas frescas, logrando un equilibrio perfecto entre textura, dulzor y frescura",2690,0,Hojaldrados,Hojaldres Dulces,Danessa,Crema Pastelera,Frutas Frescas,0,Media
HOJ-003,Palmerita Tradicional,Masa mil hojas.,1500,0,Hojaldrados,Hojaldres Dulces,Palmerita,,,0,Media
HOJ-004,Enrollado de Chocolate,Masa de hoja crocante en forma de cilindro relleno de crema pastelera y cubierto de chocolate,2500,0,Hojaldrados,Enrollados,Enrollado,Crema Pastelera,Chocolate,0,Alta
